Date,Price,Open,High,Low,Vol.
2022-04-30,2727.18,2817.14,2841.16,2716.31,430.98K
2022-04-29,2816.66,2937.01,2946.18,2778.33,629.56K
2022-04-28,2937.01,2889.01,2977.78,2856.42,726.03K
2022-04-27,2888.99,2810.42,2916.39,2795.58,602.24K
2022-04-26,2810.42,3006.04,3032.70,2768.38,694.46K
2022-04-25,3006.04,2922.03,3023.23,2800.21,807.69K
2022-04-24,2922.03,2931.90,2966.94,2915.66,269.29K
2022-04-23,2931.90,2963.00,2977.45,2917.84,227.07K
2022-04-22,2963.00,2983.91,3029.14,2937.47,544.89K
2022-04-21,2983.95,3076.06,3176.69,2950.97,675.44K
2022-04-20,3076.38,3101.79,3161.90,3037.67,512.72K
2022-04-19,3102.01,3055.86,3128.86,3030.32,427.14K
2022-04-18,3055.64,2989.05,3069.07,2887.25,681.76K
2022-04-17,2989.05,3058.96,3081.14,2983.17,311.54K
2022-04-16,3058.96,3042.01,3084.84,3011.47,245.47K
2022-04-15,3042.01,3021.93,3056.84,2996.62,309.95K
2022-04-14,3021.93,3117.21,3143.18,2980.84,546.54K
2022-04-13,3116.92,3027.64,3128.20,2999.66,563.89K
2022-04-12,3027.25,2978.45,3082.02,2951.80,790.54K
2022-04-11,2978.29,3201.99,3213.52,2953.66,876.67K
2022-04-10,3201.84,3259.59,3306.14,3198.10,327.86K
2022-04-09,3259.35,3193.54,3268.18,3182.10,283.24K
2022-04-08,3193.93,3228.83,3311.42,3174.14,654.82K
2022-04-07,3228.84,3169.58,3268.56,3143.96,569.39K
2022-04-06,3169.58,3406.83,3406.87,3164.24,950.59K
2022-04-05,3406.78,3520.35,3554.54,3400.74,500.27K
2022-04-04,3520.41,3521.16,3544.92,3412.01,547.68K
2022-04-03,3521.10,3442.34,3579.82,3414.40,473.54K
2022-04-02,3442.34,3456.18,3529.63,3436.79,629.29K
2022-04-01,3456.18,3282.33,3478.74,3215.33,649.92K
2022-03-31,3282.35,3385.60,3444.43,3263.36,545.44K
2022-03-30,3385.64,3401.86,3445.98,3333.50,425.38K
2022-03-29,3401.89,3329.67,3481.23,3329.67,570.03K
2022-03-28,3329.38,3295.73,3428.41,3275.32,628.91K
2022-03-27,3297.04,3145.95,3297.40,3126.46,402.02K
2022-03-26,3146.01,3103.43,3150.09,3085.80,244.28K
2022-03-25,3103.51,3110.80,3192.73,3081.71,583.25K
2022-03-24,3109.25,3036.18,3126.37,3005.99,699.58K
2022-03-23,3036.12,2969.64,3042.28,2925.78,536.63K
2022-03-22,2969.64,2891.41,3048.32,2887.69,716.47K
2022-03-21,2891.63,2861.66,2960.42,2830.38,546.61K
2022-03-20,2861.69,2950.03,2962.19,2819.27,436.11K
2022-03-19,2949.92,2939.76,2984.00,2895.30,392.64K
2022-03-18,2939.76,2812.29,2983.11,2768.65,1.59B
2022-03-17,2812.29,2773.80,2832.61,2747.06,1.06B
2022-03-16,2773.94,2617.43,2787.12,2603.80,1.79B
2022-03-15,2617.43,2589.54,2667.61,2510.75,1.19B
2022-03-14,2589.30,2516.75,2608.68,2500.12,991.82M
2022-03-13,2516.75,2569.80,2600.65,2494.59,811.55M
2022-03-12,2569.80,2556.96,2612.33,2555.85,567.25M
2022-03-11,2556.96,2606.50,2670.05,2525.20,1.28B
2022-03-10,2606.50,2726.94,2731.37,2559.90,1.46B
2022-03-09,2726.94,2577.21,2772.09,2569.13,1.52B
2022-03-08,2577.21,2492.53,2623.99,2483.29,1.44B
2022-03-07,2492.53,2549.40,2645.41,2447.74,1.58B
2022-03-06,2549.40,2665.42,2673.19,2542.19,881.09M
2022-03-05,2665.42,2622.15,2684.50,2592.07,709.87M
2022-03-04,2622.15,2834.78,2835.94,2575.63,1.50B
2022-03-03,2834.91,2947.03,2967.90,2789.87,521.36K
2022-03-02,2947.14,2975.80,3041.84,2914.70,740.37K
2022-03-01,2975.81,2922.44,3036.59,2858.54,828.62K
2022-02-28,2922.50,2616.34,2949.44,2574.12,899.19K
2022-02-27,2616.34,2779.55,2834.61,2562.94,804.74K
2022-02-26,2776.96,2767.58,2856.01,2734.56,520.44K
2022-02-25,2767.53,2596.52,2830.31,2573.39,828.87K
2022-02-24,2596.52,2578.54,2732.02,2303.07,1.85M
2022-02-23,2578.15,2637.38,2749.80,2578.15,636.50K
2022-02-22,2636.13,2569.19,2663.01,2501.40,841.13K
2022-02-21,2569.87,2619.32,2755.58,2560.24,996.71K
2022-02-20,2619.32,2763.97,2764.46,2577.52,508.49K
2022-02-19,2763.81,2779.44,2829.20,2699.70,377.08K
2022-02-18,2779.56,2893.78,2943.14,2754.15,623.19K
2022-02-17,2894.03,3122.33,3159.83,2855.66,661.98K
2022-02-16,3118.90,3182.32,3184.88,3045.92,416.70K
2022-02-15,3182.27,2929.29,3193.18,2912.61,540.04K
2022-02-14,2929.31,2871.06,2963.70,2834.13,477.24K
2022-02-13,2870.25,2917.16,2952.94,2838.29,303.12K
2022-02-12,2917.10,2927.64,2984.72,2858.85,433.29K
2022-02-11,2927.63,3071.80,3136.33,2880.60,607.93K
2022-02-10,3071.83,3243.73,3277.36,3058.59,742.54K
2022-02-09,3243.62,3115.91,3266.41,3055.95,477.82K
2022-02-08,3115.88,3139.65,3228.86,3029.70,664.45K
2022-02-07,3140.18,3056.29,3185.77,2995.59,568.42K
2022-02-06,3056.20,3013.75,3073.23,2957.16,316.58K
2022-02-05,3013.81,2994.74,3058.88,2963.11,473.62K
2022-02-04,2994.99,2692.80,2994.99,2671.72,908.75K
2022-02-03,2692.80,2680.66,2723.97,2579.80,549.27K
2022-02-02,2681.00,2787.16,2809.57,2618.07,602.40K
2022-02-01,2787.16,2686.82,2808.60,2676.32,521.74K
2022-01-31,2686.82,2602.71,2704.64,2478.85,601.73K
2022-01-30,2602.77,2600.12,2636.04,2543.99,381.84K
2022-01-29,2600.02,2545.95,2632.51,2520.14,484.18K
2022-01-28,2545.95,2424.66,2556.34,2362.53,634.50K
2022-01-27,2424.66,2462.25,2515.19,2317.30,774.54K
2022-01-26,2461.41,2458.07,2719.32,2405.66,1.05M
2022-01-25,2458.07,2441.01,2504.32,2352.36,656.03K
2022-01-24,2441.01,2540.81,2540.81,2161.55,1.56M
2022-01-23,2540.81,2412.52,2547.19,2373.85,766.83K
2022-01-22,2412.52,2570.67,2621.21,2311.80,1.48M
2022-01-21,2571.29,3000.21,3032.69,2471.80,1.42M
2022-01-20,3004.72,3084.48,3270.71,2989.19,481.08K
2022-01-19,3083.65,3160.15,3173.63,3049.30,459.81K
2022-01-18,3160.15,3209.43,3242.47,3084.48,399.19K
2022-01-17,3209.35,3346.63,3356.45,3142.40,375.28K
2022-01-16,3346.59,3326.50,3388.22,3276.44,295.68K
2022-01-15,3327.74,3307.84,3369.95,3265.41,292.10K
2022-01-14,3307.90,3241.95,3341.24,3195.65,415.18K
2022-01-13,3238.03,3370.87,3407.98,3234.97,462.81K
2022-01-12,3370.89,3238.22,3406.79,3208.00,530.96K
2022-01-11,3237.89,3084.64,3262.78,3053.40,505.21K
2022-01-10,3085.43,3150.27,3179.96,2931.68,804.38K
2022-01-09,3150.30,3079.89,3210.34,3060.47,415.87K
2022-01-08,3080.02,3198.14,3244.46,3001.76,566.06K
2022-01-07,3195.31,3407.22,3413.26,3077.30,979.25K
2022-01-06,3407.77,3536.15,3550.19,3306.14,701.89K
2022-01-05,3535.86,3784.47,3846.44,3418.46,582.71K
2022-01-04,3789.52,3764.62,3889.07,3715.24,415.81K
2022-01-03,3764.24,3830.70,3849.50,3682.48,338.51K
2022-01-02,3830.67,3765.67,3851.16,3718.33,242.55K
2022-01-01,3765.67,3677.69,3775.20,3675.75,239.54K
2021-12-31,3677.85,3709.38,3812.01,3623.74,405.65K
2021-12-30,3709.57,3629.33,3767.93,3589.64,355.72K
2021-12-29,3627.93,3792.95,3825.97,3607.20,456.03K
2021-12-28,3791.69,4036.86,4036.86,3760.86,527.23K
2021-12-27,4036.24,4062.02,4125.22,4033.04,313.32K
2021-12-26,4061.27,4093.38,4104.23,4005.38,283.58K
