Date,Price,Open,High,Low
2020-04-30,0.13,0.13,0.14,0.12
2020-04-29,0.13,0.14,0.14,0.13
2020-04-28,0.14,0.14,0.14,0.14
2020-04-27,0.14,0.14,0.15,0.14
2020-04-26,0.14,0.16,0.17,0.14
2020-04-25,0.16,0.13,0.17,0.12
2020-04-24,0.13,0.13,0.13,0.13
2020-04-23,0.13,0.14,0.14,0.13
2020-04-22,0.14,0.14,0.14,0.13
2020-04-21,0.14,0.14,0.14,0.13
2020-04-20,0.14,0.14,0.15,0.14
2020-04-19,0.14,0.14,0.14,0.14
2020-04-18,0.14,0.14,0.14,0.13
2020-04-17,0.14,0.14,0.14,0.14
2020-04-16,0.14,0.15,0.15,0.14
2020-04-15,0.15,0.14,0.15,0.14
2020-04-14,0.14,0.14,0.15,0.14
2020-04-13,0.14,0.14,0.14,0.14
2020-04-12,0.14,0.13,0.14,0.13
2020-04-11,0.13,0.15,0.15,0.13
2020-04-10,0.15,0.14,0.16,0.14
2020-04-09,0.14,0.14,0.14,0.14
2020-04-08,0.14,0.15,0.15,0.14
2020-04-07,0.15,0.14,0.15,0.14
2020-04-06,0.14,0.17,0.17,0.14
2020-04-05,0.17,0.15,0.18,0.15
2020-04-04,0.15,0.15,0.16,0.14
2020-04-03,0.15,0.14,0.15,0.14
2020-04-02,0.14,0.14,0.14,0.14
2020-04-01,0.14,0.14,0.14,0.13
2020-03-31,0.14,0.14,0.15,0.14
2020-03-30,0.14,0.14,0.15,0.14
2020-03-29,0.14,0.14,0.15,0.14
2020-03-28,0.14,0.14,0.15,0.14
2020-03-27,0.14,0.14,0.15,0.14
2020-03-26,0.14,0.13,0.14,0.13
2020-03-25,0.13,0.14,0.14,0.13
2020-03-24,0.14,0.13,0.14,0.13
2020-03-23,0.13,0.12,0.13,0.12
2020-03-22,0.12,0.12,0.13,0.12
2020-03-21,0.12,0.12,0.12,0.12
2020-03-20,0.12,0.12,0.12,0.12
2020-03-19,0.12,0.12,0.12,0.12
2020-03-18,0.12,0.12,0.12,0.11
2020-03-17,0.12,0.12,0.12,0.12
2020-03-16,0.12,0.11,0.12,0.11
2020-03-15,0.11,0.11,0.11,0.11
2020-03-14,0.11,0.11,0.12,0.11
2020-03-13,0.11,0.11,0.12,0.11
2020-03-12,0.11,0.12,0.12,0.11
2020-03-11,0.12,0.12,0.12,0.11
2020-03-10,0.12,0.12,0.12,0.12
2020-03-09,0.12,0.12,0.12,0.12
2020-03-08,0.12,0.12,0.12,0.12
2020-03-07,0.12,0.12,0.12,0.11
2020-03-06,0.12,0.12,0.13,0.12
2020-03-05,0.12,0.12,0.13,0.12
2020-03-04,0.12,0.13,0.13,0.12
2020-03-03,0.13,0.13,0.13,0.13
2020-03-02,0.13,0.13,0.14,0.13
2020-03-01,0.13,0.13,0.14,0.13
2020-02-29,0.13,0.12,0.13,0.12
2020-02-28,0.12,0.13,0.13,0.12
2020-02-27,0.13,0.13,0.13,0.13
2020-02-26,0.13,0.12,0.13,0.12
2020-02-25,0.12,0.13,0.13,0.11
2020-02-24,0.13,0.13,0.14,0.13
2020-02-23,0.13,0.13,0.13,0.12
2020-02-22,0.13,0.14,0.14,0.13
2020-02-21,0.14,0.14,0.14,0.14
2020-02-20,0.14,0.14,0.15,0.14
2020-02-19,0.14,0.14,0.14,0.14
2020-02-18,0.14,0.15,0.15,0.14
2020-02-17,0.15,0.15,0.15,0.15
2020-02-16,0.15,0.15,0.15,0.14
2020-02-15,0.15,0.15,0.15,0.14
2020-02-14,0.15,0.14,0.16,0.14
2020-02-13,0.14,0.14,0.15,0.14
2020-02-12,0.14,0.15,0.15,0.14
2020-02-11,0.15,0.16,0.16,0.15
2020-02-10,0.16,0.16,0.16,0.15
2020-02-09,0.16,0.17,0.17,0.15
2020-02-08,0.17,0.15,0.17,0.15
2020-02-07,0.15,0.15,0.16,0.14
2020-02-06,0.15,0.15,0.15,0.14
2020-02-05,0.15,0.14,0.15,0.14
2020-02-04,0.14,0.14,0.14,0.13
2020-02-03,0.14,0.14,0.15,0.14
2020-02-02,0.14,0.14,0.14,0.14
2020-02-01,0.14,0.14,0.14,0.14
2020-01-31,0.14,0.14,0.14,0.14
2020-01-30,0.14,0.14,0.14,0.14
2020-01-29,0.14,0.14,0.14,0.14
2020-01-28,0.14,0.14,0.15,0.14
2020-01-27,0.14,0.14,0.15,0.14
2020-01-26,0.14,0.14,0.15,0.13
2020-01-25,0.14,0.14,0.14,0.13
2020-01-24,0.14,0.13,0.14,0.13
2020-01-23,0.13,0.14,0.15,0.12
2020-01-22,0.14,0.16,0.16,0.14
2020-01-21,0.16,0.16,0.17,0.15
2020-01-20,0.16,0.17,0.17,0.16
2020-01-19,0.17,0.17,0.17,0.16
2020-01-18,0.17,0.18,0.18,0.17
2020-01-17,0.18,0.18,0.18,0.17
2020-01-16,0.18,0.18,0.19,0.18
2020-01-15,0.18,0.17,0.21,0.17
2020-01-14,0.17,0.16,0.18,0.16
2020-01-13,0.16,0.15,0.16,0.15
2020-01-12,0.15,0.14,0.17,0.14
2020-01-11,0.14,0.15,0.15,0.14
2020-01-10,0.15,0.15,0.15,0.15
2020-01-09,0.15,0.15,0.16,0.15
2020-01-08,0.15,0.16,0.16,0.15
2020-01-07,0.16,0.16,0.16,0.15
2020-01-06,0.16,0.17,0.17,0.15
2020-01-05,0.17,0.17,0.17,0.17
2020-01-04,0.17,0.17,0.17,0.17
2020-01-03,0.17,0.17,0.18,0.17
2020-01-02,0.17,0.17,0.17,0.17
2020-01-01,0.17,0.17,0.18,0.17
2019-12-31,0.17,0.17,0.18,0.17
2019-12-30,0.17,0.17,0.18,0.17
2019-12-29,0.17,0.19,0.19,0.17
2019-12-28,0.19,0.19,0.19,0.19
2019-12-27,0.19,0.19,0.19,0.19
2019-12-26,0.19,0.19,0.19,0.18
2019-12-25,0.19,0.18,0.20,0.18
2019-12-24,0.18,0.17,0.18,0.17
2019-12-23,0.17,0.17,0.18,0.17
2019-12-22,0.17,0.17,0.17,0.17
2019-12-21,0.17,0.17,0.17,0.16
2019-12-20,0.17,0.17,0.17,0.17
2019-12-19,0.17,0.17,0.18,0.17
2019-12-18,0.17,0.17,0.18,0.16
2019-12-17,0.17,0.18,0.19,0.17
2019-12-16,0.18,0.19,0.19,0.17
2019-12-15,0.19,0.16,0.22,0.16
2019-12-14,0.16,0.17,0.17,0.15
2019-12-13,0.17,0.17,0.17,0.17
2019-12-12,0.17,0.16,0.17,0.16
2019-12-11,0.16,0.17,0.17,0.16
2019-12-10,0.17,0.18,0.18,0.17
2019-12-09,0.18,0.18,0.18,0.17
2019-12-08,0.18,0.18,0.18,0.18
2019-12-07,0.18,0.17,0.18,0.16
2019-12-06,0.17,0.18,0.18,0.16
2019-12-05,0.18,0.20,0.20,0.13
2019-12-04,0.20,0.21,0.21,0.19
2019-12-03,0.21,0.21,0.22,0.20
2019-12-02,0.21,0.21,0.22,0.21
2019-12-01,0.21,0.21,0.23,0.21
2019-11-30,0.21,0.21,0.22,0.20
2019-11-29,0.21,0.21,0.21,0.19
2019-11-28,0.21,0.20,0.21,0.20
2019-11-27,0.20,0.22,0.22,0.19
2019-11-26,0.22,0.22,0.23,0.21
2019-11-25,0.22,0.23,0.23,0.21
2019-11-24,0.23,0.22,0.24,0.21
2019-11-23,0.22,0.23,0.23,0.22
2019-11-22,0.23,0.23,0.23,0.23
2019-11-21,0.23,0.23,0.24,0.23
2019-11-20,0.23,0.22,0.24,0.22
2019-11-19,0.22,0.24,0.24,0.22
2019-11-18,0.24,0.24,0.24,0.23
2019-11-17,0.24,0.26,0.26,0.22
2019-11-16,0.26,0.26,0.27,0.26
2019-11-15,0.26,0.26,0.27,0.26
2019-11-14,0.26,0.26,0.26,0.25
2019-11-13,0.26,0.26,0.27,0.25
2019-11-12,0.26,0.26,0.27,0.25
2019-11-11,0.26,0.27,0.28,0.24
2019-11-10,0.27,0.28,0.29,0.27
2019-11-09,0.28,0.27,0.30,0.26
2019-11-08,0.27,0.26,0.27,0.26
2019-11-07,0.26,0.26,0.27,0.25
2019-11-06,0.26,0.26,0.27,0.26
2019-11-05,0.26,0.27,0.27,0.25
2019-11-04,0.27,0.27,0.28,0.26
2019-11-03,0.27,0.27,0.28,0.27
2019-11-02,0.27,0.28,0.29,0.26
2019-11-01,0.28,0.27,0.28,0.25
2019-10-31,0.27,0.29,0.29,0.26
2019-10-30,0.29,0.30,0.31,0.28
2019-10-29,0.30,0.24,0.34,0.23
2019-10-28,0.24,0.26,0.26,0.22
2019-10-27,0.26,0.26,0.27,0.25
2019-10-26,0.26,0.28,0.28,0.26
2019-10-25,0.28,0.25,0.28,0.25
2019-10-24,0.25,0.24,0.25,0.24
2019-10-23,0.24,0.24,0.25,0.24
2019-10-22,0.24,0.25,0.26,0.24
2019-10-21,0.25,0.25,0.26,0.24
2019-10-20,0.25,0.25,0.25,0.24
2019-10-19,0.25,0.24,0.27,0.24
2019-10-18,0.24,0.24,0.24,0.23
2019-10-17,0.24,0.23,0.25,0.23
2019-10-16,0.23,0.23,0.24,0.23
2019-10-15,0.23,0.23,0.24,0.23
2019-10-14,0.23,0.23,0.23,0.22
2019-10-13,0.23,0.23,0.23,0.22
2019-10-12,0.23,0.23,0.24,0.23
2019-10-11,0.23,0.25,0.25,0.23
2019-10-10,0.25,0.24,0.25,0.24
2019-10-09,0.24,0.24,0.25,0.24
2019-10-08,0.24,0.25,0.26,0.24
2019-10-07,0.25,0.25,0.27,0.24
2019-10-06,0.25,0.24,0.27,0.23
2019-10-05,0.24,0.22,0.25,0.21
2019-10-04,0.22,0.22,0.23,0.22
2019-10-03,0.22,0.22,0.22,0.22
2019-10-02,0.22,0.20,0.22,0.20
2019-10-01,0.20,0.20,0.21,0.20
2019-09-30,0.20,0.20,0.20,0.19
2019-09-29,0.20,0.20,0.20,0.20
2019-09-28,0.20,0.20,0.21,0.20
2019-09-27,0.20,0.21,0.21,0.19
2019-09-26,0.21,0.21,0.21,0.20
2019-09-25,0.21,0.22,0.23,0.20
2019-09-24,0.22,0.22,0.23,0.22
2019-09-23,0.22,0.20,0.23,0.20
2019-09-22,0.20,0.21,0.22,0.20
2019-09-21,0.21,0.23,0.23,0.20
2019-09-20,0.23,0.24,0.24,0.23
2019-09-19,0.24,0.24,0.25,0.24
2019-09-18,0.24,0.24,0.26,0.24
2019-09-17,0.24,0.25,0.25,0.23
2019-09-16,0.25,0.24,0.25,0.24
2019-09-15,0.24,0.24,0.24,0.23
2019-09-14,0.24,0.25,0.25,0.23
2019-09-13,0.25,0.24,0.25,0.24
2019-09-12,0.24,0.24,0.25,0.24
2019-09-11,0.24,0.25,0.26,0.24
2019-09-10,0.25,0.26,0.26,0.25
2019-09-09,0.26,0.25,0.26,0.23
2019-09-08,0.25,0.31,0.31,0.21
2019-09-07,0.31,0.31,0.32,0.30
2019-09-06,0.31,0.30,0.32,0.30
2019-09-05,0.30,0.30,0.31,0.29
2019-09-04,0.30,0.29,0.30,0.29
2019-09-03,0.29,0.29,0.31,0.29
2019-09-02,0.29,0.28,0.29,0.27
2019-09-01,0.28,0.27,0.29,0.27
2019-08-31,0.27,0.27,0.28,0.27
2019-08-30,0.27,0.27,0.28,0.26
2019-08-29,0.27,0.29,0.29,0.27
2019-08-28,0.29,0.26,0.29,0.26
2019-08-27,0.26,0.29,0.29,0.26
2019-08-26,0.29,0.28,0.29,0.28
2019-08-25,0.28,0.31,0.31,0.27
2019-08-24,0.31,0.31,0.32,0.31
2019-08-23,0.31,0.30,0.31,0.29
2019-08-22,0.30,0.31,0.31,0.29
2019-08-21,0.31,0.32,0.33,0.31
2019-08-20,0.32,0.30,0.32,0.29
2019-08-19,0.30,0.29,0.32,0.27
2019-08-18,0.29,0.31,0.33,0.29
2019-08-17,0.31,0.34,0.34,0.30
2019-08-16,0.34,0.29,0.35,0.28
2019-08-15,0.29,0.28,0.30,0.27
2019-08-14,0.28,0.25,0.28,0.25
2019-08-13,0.25,0.26,0.29,0.24
2019-08-12,0.26,0.24,0.28,0.24
2019-08-11,0.24,0.25,0.26,0.23
2019-08-10,0.25,0.24,0.27,0.23
2019-08-09,0.24,0.26,0.28,0.23
2019-08-08,0.26,0.20,0.26,0.20
2019-08-07,0.20,0.20,0.21,0.20
2019-08-06,0.20,0.20,0.20,0.19
2019-08-05,0.20,0.20,0.20,0.19
2019-08-04,0.20,0.20,0.20,0.19
2019-08-03,0.20,0.20,0.21,0.20
2019-08-02,0.20,0.21,0.22,0.20
2019-08-01,0.21,0.21,0.21,0.20
2019-07-31,0.21,0.20,0.21,0.19
2019-07-30,0.20,0.21,0.21,0.20
2019-07-29,0.21,0.20,0.21,0.20
2019-07-28,0.20,0.20,0.21,0.19
2019-07-27,0.20,0.20,0.23,0.20
2019-07-26,0.20,0.19,0.20,0.19
2019-07-25,0.19,0.19,0.20,0.19
2019-07-24,0.19,0.19,0.20,0.18
2019-07-23,0.19,0.19,0.20,0.19
2019-07-22,0.19,0.17,0.21,0.17
2019-07-21,0.17,0.17,0.18,0.16
2019-07-20,0.17,0.18,0.18,0.17
2019-07-19,0.18,0.19,0.20,0.18
2019-07-18,0.19,0.17,0.20,0.17
2019-07-17,0.17,0.18,0.19,0.17
2019-07-16,0.18,0.20,0.20,0.18
2019-07-15,0.20,0.20,0.20,0.19
2019-07-14,0.20,0.21,0.21,0.20
2019-07-13,0.21,0.21,0.22,0.20
2019-07-12,0.21,0.21,0.22,0.21
2019-07-11,0.21,0.22,0.23,0.21
2019-07-10,0.22,0.21,0.23,0.20
2019-07-09,0.21,0.22,0.22,0.20
2019-07-08,0.22,0.23,0.24,0.22
2019-07-07,0.23,0.23,0.24,0.23
2019-07-06,0.23,0.24,0.24,0.22
2019-07-05,0.24,0.25,0.25,0.09
2019-07-04,0.25,0.24,0.25,0.24
2019-07-03,0.24,0.24,0.25,0.24
2019-07-02,0.24,0.25,0.26,0.24
2019-07-01,0.25,0.26,0.26,0.24
2019-06-30,0.26,0.26,0.27,0.25
2019-06-29,0.26,0.26,0.27,0.25
2019-06-28,0.26,0.25,0.27,0.24
2019-06-27,0.24,0.24,0.25,0.23
2019-06-26,0.24,0.26,0.29,0.23
2019-06-25,0.26,0.23,0.27,0.22
2019-06-24,0.23,0.19,0.25,0.18
2019-06-23,0.19,0.18,0.22,0.16
2019-06-22,0.18,0.28,0.28,0.17
2019-06-21,0.28,0.28,0.29,0.25
2019-06-20,0.28,0.29,0.30,0.28
2019-06-19,0.29,0.30,0.30,0.28
